职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,职位描述和职位要求,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
急聘数据统计员,NULL,北京-丰台区,全职,1年经验,大专,3000-5000,NULL,NULL,"绩效奖金,五险一金,交通补贴,话费补贴,餐饮补贴,节日福利,",岗位职责:、负责项目相关统计需求的收集、整理；2、负责业务数据的统计分析，报告编制；3、按时完成日常数据报表，监控数据异常，对业务管理及优化提供数据支持；4、完成领导交办的其他工作。工作时间：早9：00—17：30工作地址北京市丰台区葆台路大溪地别墅区1号楼,"
                    岗位职责：1、负责项目相关统计需求的收集、整理；2、负责业务数据的统计分析，报告编制；3、按时完成日常数据报表，监控数据异常，对业务管理及优化提供数据支持； 4、完成领导交办的其他工作。工作时间：早9：00—17：30工作地址北京市丰台区葆台路大溪地别墅区1号楼
                ",聚焦（北京）婚纱摄影有限公司,"婚庆,摄影",民营私企,NULL, 301－500人,NULL,2018-3-3,http://www.chinahr.com/job/6465620142198021.html,中华英才网
急聘数据统计员+午餐,NULL,北京-丰台区,全职,2年经验,大专,3000-5000,NULL,NULL,"带薪年假,弹性工作,员工培训,节日福利,绩效奖金,帅哥美女多,晋升空间大,工作内容有趣,豪华团建,",岗位职责:、负责项目相关统计需求的收集、整理；2、负责业务数据的统计分析，报告编制；3、按时完成日常数据报表，监控数据异常，对业务管理及优化提供数据支持；4、完成领导交办的其他工作。工作时间：早9：30—18：00工作地址北京市丰台区葆台路大溪地别墅区1号楼,"
                    岗位职责：1、负责项目相关统计需求的收集、整理；2、负责业务数据的统计分析，报告编制；3、按时完成日常数据报表，监控数据异常，对业务管理及优化提供数据支持； 4、完成领导交办的其他工作。工作时间：早9：30—18：00工作地址北京市丰台区葆台路大溪地别墅区1号楼
                ",聚焦（北京）婚纱摄影有限公司,"婚庆,摄影",民营私企,NULL, 301－500人,NULL,2018-3-3,http://www.chinahr.com/job/6485061821695495.html,中华英才网
急招数据统计员/风控专员,NULL,广州-越秀区,全职,1年经验,中专,3000-5000,NULL,NULL,"下午茶充足,节日福利,员工旅游,五险一金,员工培训,","岗位职责:负责公司ACPD项目部数据统计，确保各项数据的真实性和准确性；2、对数字敏感，有独立的数据统计能力，具备规范与严谨的统计操作技能；配合财务部统计,审计公司各项数据；3、规范化制作相关表格表单；4、完成领导交办的其他工作。任职要求：1、会计、计算机及相关统计类专业，其他专业有统计经验者亦可优先考虑；2、良好的数据分析和处理能力，具有一定的数据敏感度；3、熟练运用操作办公软件EXCEL（函数、数据透视等）、WORD等；4、思路清晰，有较强的组织、沟通和协调能力，善于统筹规划时间；5、具有团队合作精神，忠诚敬业、吃苦耐劳。","
                    岗位职责1、负责公司ACPD项目部数据统计，确保各项数据的真实性和准确性；2、对数字敏感，有独立的数据统计能力，具备规范与严谨的统计操作技能；配合财务部统计,审计公司各项数据；3、规范化制作相关表格表单；4、完成领导交办的其他工作。任职要求：1、会计、计算机及相关统计类专业，其他专业有统计经验者亦可优先考虑；2、良好的数据分析和处理能力，具有一定的数据敏感度；3、熟练运用操作办公软件EXCEL（函数、数据透视等）、WORD等；4、 思路清晰，有较强的组织、沟通和协调能力，善于统筹规划时间；5、 具有团队合作精神，忠诚敬业、吃苦耐劳。
                ",广州市智码优卡信息技术有限公司,电子商务,外商独资,NULL, 101－300人,NULL,2018-3-3,http://www.chinahr.com/job/6351691358373377.html,中华英才网
架构师（spark方向）,NULL,上海-闵行区,全职,5年经验,本科,20000-40000,NULL,NULL,"绩效奖金,年终奖,五险一金,弹性工作,领导易相处,晋升空间大,带薪年假,",岗位职责:位职责1、负责重要业务模块的开发；2、负责架构组件的研究，开发；3、协助CTO进行架构升级；4、负责开发规范的审查；5、负责重要项目的推进；任职资格1、计算机或相关专业本科及以上学历；2、5年以上相关工作经验；3、有非常整洁的代码习惯；4、精通J2EE；5、精通Spark相关组件，有主导线上项目的经验；6、有丰富的架构经验；7、有抗压能力，能同时进行多项事务；8、有很强的多人项目的推进能力；ps：1、必须做过服务器架构2、必须实际主导过Spark项目,"
                    职位描述：岗位职责1、负责重要业务模块的开发；2、负责架构组件的研究，开发；3、协助CTO进行架构升级；4、负责开发规范的审查；5、负责重要项目的推进；任职资格1、计算机或相关专业本科及以上学历；2、5年以上相关工作经验；3、有非常整洁的代码习惯；4、精通J2EE；5、精通Spark相关组件，有主导线上项目的经验；6、有丰富的架构经验；7、有抗压能力，能同时进行多项事务；8、有很强的多人项目的推进能力；ps：1、必须做过服务器架构2、必须实际主导过Spark项目
                ",快睿登信息科技（上海）有限公司,移动互联网,民营私企,NULL, 21－50人,NULL,2018-3-3,http://www.chinahr.com/job/6334933426179588.html,中华英才网
兼职 数据分析员,NULL,北京-昌平区,兼职,0年经验,本科,3000-6000,NULL,NULL,"办公装备高档,话费补贴,单身多,帅哥美女多,领导易相处,晋升空间大,",岗位职责:职责：1、数据采集、分析、报表建立、整合、优化；2、根据各部门需求对回收的数据进行清洗和整理；3、对数据进行统计分析，发交叉分析、对比分析、回析分析、检验分析等。4、建立客户的数据分析模型，按照给定的需求收集分析数据，汇总成所需报表。任职要求：1、本科以上学历，计算机，数学，统计学，经济学等相关专业优先，有数据分析师、电信行业客户感知调查经验等相关工作经验者优先；2、至少能够熟练掌握spss、excel、sas等软件其中一种，会SAS、R软件者优先。3、了解数据分析的基本方法，具备较强的数据分析、归纳能力；,"
                    职位介绍岗位职责：1、数据采集、分析、报表建立、整合、优化；2、根据各部门需求对回收的数据进行清洗和整理；3、对数据进行统计分析，发交叉分析、对比分析、回析分析、检验分析等。4、建立客户的数据分析模型，按照给定的需求收集分析数据，汇总成所需报表。任职要求：1、本科以上学历，计算机，数学，统计学，经济学等相关专业优先，有数据分析师、电信行业客户感知调查经验等相关工作经验者优先；2、至少能够熟练掌握spss、excel、sas等软件其中一种，会SAS、R软件者优先。3、了解数据分析的基本方法，具备较强的数据分析、归纳能力；
                ",北京中智博咨询有限公司,咨询,股份制,NULL, 101－300人,NULL,2018-3-3,http://www.chinahr.com/job/6349080664116228.html,中华英才网
金融数据分析师（助理）,NULL,北京-东城区,全职,2年经验,本科,6000-12000,NULL,NULL,"绩效奖金,五险一金,交通补贴,话费补贴,弹性工作,帅哥美女多,下午茶充足,",岗位职责:，强者把握机会，弱者等待机会。李克强总理说过，未来十年是金融行业的“钻石”十年！随着人民币加入国际货币篮子，金融行业在未来必将大放异彩。【岗位职责】：1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。【员工具备】：1、不管你来自哪里，学历是什么，我们希望你正直，待人真诚。2、无论你年龄大小，我们希望你有强烈的成功欲望，证明自己存在的价值。3、你一定要能吃苦，要勤奋，因为勤奋+思考才容易更快的成长。4、你一定要有团队意识，一个人可以走的很快，但不可能走得很远。5、你要懂得自律，如果现在还不能自律，那就让团队和环境来帮助你。6、拥有超强的执行力，一流的创意+一流的执行。你需要做到1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。晋升方向：每三个月有一次晋升机会，能力突出者可视情况破格提升。数据分析师→基层管理岗位→主管、经理岗位→总监岗位→分公司总监、总经理等；福利待遇：1.培训期培训补贴每天50元，入职后统一发放。2.节假日公司会不定期的组织外出活动及娱乐活动。3.公司设有多处分部，将为你提供明亮、优雅、舒适的工作环境，提升您的心情。4.五险一金、周末双休、法定节假日、奖金、免费系统培训、完善的晋升。步入人生巅峰，迎娶白富美！加入万向联合，你将获得的是：★轻松过万的月薪，年均三十万的年薪，百万年薪的机会！★与北大、清华、本科优秀毕业生和硕士博士生在同一平台学习、进步！★广阔的发展机会！十年的扩张平台！一大波经理、总监岗位来袭！★一对一师徒，最全面带薪培训！★因人制宜，所有岗位均可内部转岗！注：不提供视频或者电话面试，只能到北京参加一对一面试。应届生：不提供视频或者电话面试，只能到北京参加一对一面试，无复试，无笔试。实习生：前期培训期视为实习，实习期满可成为公司正式员工，可开实习证明，（带薪培训，有经验者可不接受培训，详情面谈）培训期为连续六个工作日，周末双休，每日培训时间：早晨9:30至下午15:30。【联系方式】人事经理：高经理公司网址：www.finance-bj.com联系电话：13693344039公司地址：北京市东城区广渠门内嘉禾国信309室公司名称：万向联合控股集团,"
                    智者创造机会，强者把握机会，弱者等待机会。李克强总理说过，未来十年是金融行业的“钻石”十年！        随着人民币加入国际货币篮子，金融行业在未来必将大放异彩。 【岗位职责】：1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。【员工具备】：1、不管你来自哪里，学历是什么，我们希望你正直，待人真诚。2、无论你年龄大小，我们希望你有强烈的成功欲望，证明自己存在的价值。3、你一定要能吃苦，要勤奋，因为勤奋+思考才容易更快的成长。 4、你一定要有团队意识，一个人可以走的很快，但不可能走得很远。5、你要懂得自律，如果现在还不能自律，那就让团队和环境来帮助你。6、拥有超强的执行力， 一流的创意+一流的执行。你需要做到1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。晋升方向：每三个月有一次晋升机会，能力突出者可视情况破格提升。数据分析师 → 基层管理岗位 → 主管、经理岗位 → 总监岗位 → 分公司总监、总经理等；福利待遇：1.培训期培训补贴每天50元，入职后统一发放。2.节假日公司会不定期的组织外出活动及娱乐活动。3.公司设有多处分部，将为你提供明亮、优雅、舒适的工作环境，提升您的心情。4.五险一金、周末双休、法定节假日、奖金、免费系统培训、完善的晋升。步入人生巅峰，迎娶白富美！加入万向联合，你将获得的是：★ 轻松过万的月薪，年均三十万的年薪，百万年薪的机会！★ 与北大、清华、本科优秀毕业生和硕士博士生在同一平台学习、进步！★广阔的发展机会！十年的扩张平台！一大波经理、总监岗位来袭！★一对一师徒，最全面带薪培训！★因人制宜，所有岗位均可内部转岗！注：不提供视频或者电话面试，只能到北京参加一对一面试。应届生：不提供视频或者电话面试，只能到北京参加一对一面试，无复试，无笔试。实习生：前期培训期视为实习，实习期满可成为公司正式员工，可开实习证明，（带薪培训，有经验者可不接受培训，详情面谈）培训期为连续六个工作日，周末双休，每日培训时间：早晨9:30至下午15:30。【联系方式】人事经理：高经理公司网址：www.finance-bj.com联系电话： 13693344039公司地址：北京市东城区广渠门内嘉禾国信309室公司名称：万向联合控股集团
                ",北京万向联合控股集团有限公司,金融,股份制,NULL, 101－300人,NULL,2018-3-3,http://www.chinahr.com/job/5901525957544455.html,中华英才网
金融数据分析师（助理）内部可晋升（可培训）,NULL,北京-东城区,全职,1年经验,大专,6000-12000,NULL,NULL,"绩效奖金,五险一金,交通补贴,话费补贴,弹性工作,帅哥美女多,下午茶充足,",岗位职责:座山，而找寻出路，却是一种学习的过程，我们应当在这过程中，学习稳定、冷静，学习如何从慌乱中找到生机。万向联合开启诚聘大门，欢迎有梦想的金融有志之士。职位描述:为培养公司未来金融管理人员，吸纳新鲜力量，积极进行人才储备，实现永续经营并分享成功。公司正式启动人才储备项目，为有能力的金融类应聘者提供培训方案，并在公司的核心岗位进行轮值，使他们能够快速成长，适应市场，合格的应聘人员将择优录取，作为公司重要的储备人才。职位要求：1、应届毕业生及以上学历，有志于金融行业长远发展（金融、经济学专业可放宽至大专）；或对金融行业有强烈意愿者。2、良好的沟通能力，很好的亲和力和较强的人际交往能力；3、精力充沛，喜爱竞争挑战和有强烈成功欲望；4、遵守纪侓和行业规范，能接受严格专业培训，具有敬业精神及团队合作意识；5、正直诚信，忠于企业，传承企业文化，愿意与企业一起发展成长；6、具有一定的金融行业知识，具有股票、外汇、期货、贵金属投资等相关业务从业经历者优先。对无相关从业经验者提供带薪培训，并在实习期内根据个人能力，定向发展成为：分析师助理（储备分析师），经理助理（储备经理）。任职要求：1、对企业相关部门岗位轮岗轮训，熟悉操作流程，累计实习经验；2、学习掌握基础分析知识，定期对金融市场定向研究，撰写市场分析报告；3、协助分析师完成对公司客户及会员进行技术分析维护，控制风险，帮助客户稳定盈利；4、完成各部门各岗位实习考核任务，实习期具有一定淘汰率；5、一个月试用期通过公司标准，转正后获得高额薪水、固定期限劳动合同，开启璀璨人生之路。用人理念：1、你可以没有显赫学历，但要有一直学习新事物的精神，对新鲜的东西拥有强烈的求知欲；2、你可以没有就读名校，但要证明你的能力不输于那些所谓名校的高材生；3、你可以没有金融知识，但要对金融行业有强烈的热情和兴趣；4、你可以没有工作经验，但要有梦想、有目标，要积极向上、勇于担当。薪酬福利：1、薪酬：6K底薪+高额提成+交通补助+奖金+带薪年假+节日福利+生日福利+社会保险2、普通员工平均月收入可达到10000元/月3、享有国家规定法定假日及年假、婚假、产育假等假期制度4、公司定期举办各种活动，如员工聚餐、员工生日聚餐、运动会、拓展训练、团队旅游、企业年会等。公司地址：北京市东城区广渠门内嘉禾国信309室公司主页：www.finance-bj.com人事部电话：13693344039人事部经理：高宇,"
                    人生像攀登一座山，而找寻出路，却是一种学习的过程，我们应当在这过程中，学习稳定、冷静，学习如何从慌乱中找到生机。万向联合开启诚聘大门，欢迎有梦想的金融有志之士。职位描述 :为培养公司未来金融管理人员，吸纳新鲜力量，积极进行人才储备，实现永续经营并分享成功。公司正式启动人才储备项目，为有能力的金融类应聘者提供培训方案，并在公司的核心岗位进行轮值，使他们能够快速成长，适应市场，合格的应聘人员将择优录取，作为公司重要的储备人才。职位要求 ：1、应届毕业生及以上学历，有志于金融行业长远发展（金融、经济学专业可放宽至大专）；或对金融行业有强烈意愿者。2、良好的沟通能力，很好的亲和力和较强的人际交往能力；3、精力充沛，喜爱竞争挑战和有强烈成功欲望；4、遵守纪侓和行业规范，能接受严格专业培训，具有敬业精神及团队合作意识；5、正直诚信，忠于企业，传承企业文化，愿意与企业一起发展成长；6、具有一定的金融行业知识，具有股票、外汇、期货、贵金属投资等相关业务从业经历者优先。对无相关从业经验者提供带薪培训，并在实习期内根据个人能力，定向发展成为：分析师助理（储备分析师），经理助理（储备经理）。任职要求 ：1、对企业相关部门岗位轮岗轮训，熟悉操作流程，累计实习经验；2、学习掌握基础分析知识，定期对金融市场定向研究，撰写市场分析报告；3、协助分析师完成对公司客户及会员进行技术分析维护，控制风险，帮助客户稳定盈利；4、完成各部门各岗位实习考核任务，实习期具有一定淘汰率；5、一个月试用期通过公司标准，转正后获得高额薪水、固定期限劳动合同，开启璀璨人生之路。用人理念： 1、你可以没有显赫学历，但要有一直学习新事物的精神，对新鲜的东西拥有强烈的求知欲； 2、你可以没有就读名校，但要证明你的能力不输于那些所谓名校的高材生； 3、你可以没有金融知识，但要对金融行业有强烈的热情和兴趣； 4、你可以没有工作经验，但要有梦想、有目标，要积极向上、勇于担当。薪酬福利：1、薪酬：6K底薪+高额提成+交通补助+奖金+带薪年假+节日福利+生日福利+社会保险 2、普通员工平均月收入可达到10000元/月 3、享有国家规定法定假日及年假、婚假、产育假等假期制度 4、公司定期举办各种活动，如员工聚餐、员工生日聚餐、运动会、拓展训练、团队旅游、企业年会等。公司地址： 北京市东城区广渠门内嘉禾国信309室公司主页： www.finance-bj.com人事部电话： 13693344039人事部经理：高宇 
                ",北京万向联合控股集团有限公司,金融,股份制,NULL, 101－300人,NULL,2018-3-3,http://www.chinahr.com/job/6100459508695303.html,中华英才网
金融数据分析专员（无销售）,NULL,北京-东城区,全职,1年经验,大专,6000-12000,NULL,NULL,"绩效奖金,五险一金,交通补贴,话费补贴,弹性工作,帅哥美女多,下午茶充足,",岗位职责:力吗？想挑战高薪吗？想验证你工作的价值观吗？来我们这里、将给你最好的平台、最好的晋升机制、阶梯式的让您成长备注：如果你对本职位感兴趣，可以先投递您的简历，如果您符合我们的岗位要求，公司将在24小时之内给您回复，请踊跃报名，本公司一经录用，将享受国企待遇！公司是做什么的：金融行业，主做国家货币之间的兑换！；公司在招什么岗：金融分析师||资金管理员|外汇专员（热爱金融、想从事金融行业）；还想了解什么，请您往下看！↓薪资：底薪6000—12000+岗位奖金，羡慕得嗷嗷叫，福利待遇再来一波~假期：国家法定节假日正常放假；。培训：免费带薪培训，专业完善的培训体系，帮助经验但是想在金融行业有一番作为的人员；晋升：管理层无一人空降，以前没有以后也不会有；每3个月会一次晋升，只有你有能力，发展不是问题！薪酬：6K底薪+高额提成+交通补助+奖金+带薪年假+节日福利+生日福利+社会保险普通员工平均月收入可达到10000元/月享有国家规定法定假日及年假、婚假、产育假等假期制度、公司定期举办各种活动，如员工聚餐、员工生日聚餐、运动会、拓展训练、团队旅游、企业年会等。这个岗位有什么要求呢?1、应届毕业生及以上学历，有志于金融行业长远发展（金融、经济学专业可放宽至大专）；或对金融行业有强烈意愿者。2、良好的沟通能力，很好的亲和力和较强的人际交往能力；3、精力充沛，喜爱竞争挑战和有强烈成功欲望；4、遵守纪侓和行业规范，能接受严格专业培训，具有敬业精神及团队合作意识；5、正直诚信，忠于企业，传承企业文化，愿意与企业一起发展成长；6、具有一定的金融行业知识，具有股票、外汇、期货、贵金属投资等相关业务从业经历者优先。对无相关从业经验者提供带薪培训，并在实习期内根据个人能力，定向发展成为：分析师助理（储备分析师），经理助理（储备经理）。任职要求：1、对企业相关部门岗位轮岗轮训，熟悉操作流程，累计实习经验；2、学习掌握基础分析知识，定期对金融市场定向研究，撰写市场分析报告；3、协助分析师完成对公司客户及会员进行技术分析维护，控制风险，帮助客户稳定盈利；4、完成各部门各岗位实习考核任务，实习期具有一定淘汰率；5、一个月试用期通过公司标准，转正后获得高额薪水、固定期限劳动合同，开启璀璨人生之路。用人理念：1、你可以没有显赫学历，但要有一直学习新事物的精神，对新鲜的东西拥有强烈的求知欲；2、你可以没有就读名校，但要证明你的能力不输于那些所谓名校的高材生；3、你可以没有金融知识，但要对金融行业有强烈的热情和兴趣；4、你可以没有工作经验，但要有梦想、有目标，要积极向上、勇于担当。联系方式：公司地址：北京市东城区广渠门内嘉禾国信309室公司主页：www.finance-bj.com人事部电话：13693344039人事部经理：高宇小伙伴棒棒哒！我们期待你的加入，一起发挥小宇宙,"
                    想挑战你的能力吗？想挑战高薪吗？想验证你工作的价值观吗？来我们这里、将给你最好的平台、最好的晋升机制、阶梯式的让您成长备注：如果你对本职位感兴趣，可以先投递您的简历，如果您符合我们的岗位要求，公司将在24小时之内给您回复，请踊跃报名，本公司一经录用，将享受国企待遇！公司是做什么的：金融行业，主做国家货币之间的兑换！；公司在招什么岗：金融分析师||资金管理员|外汇专员（热爱金融、想从事金融行业）；还想了解什么，请您往下看！↓薪资：底薪6000—12000+岗位奖金，羡慕得嗷嗷叫， 福利待遇再来一波~假期：国家法定节假日正常放假； 。培训：免费带薪培训，专业完善的培训体系，帮助经验但是想在金融行业有一番作为的人员；晋升：管理层无一人空降，以前没有以后也不会有；每3个月会一次晋升，只有你有能力，发展不是问题！薪酬：6K底薪+高额提成+交通补助+奖金+带薪年假+节日福利+生日福利+社会保险普通员工平均月收入可达到10000元/月享有国家规定法定假日及年假、婚假、产育假等假期制度 、公司定期举办各种活动，如员工聚餐、员工生日聚餐、运动会、拓展训练、团队旅游、企业年会等。这个岗位有什么要求呢?1、应届毕业生及以上学历，有志于金融行业长远发展（金融、经济学专业可放宽至大专）；或对金融行业有强烈意愿者。2、良好的沟通能力，很好的亲和力和较强的人际交往能力；3、精力充沛，喜爱竞争挑战和有强烈成功欲望；4、遵守纪侓和行业规范，能接受严格专业培训，具有敬业精神及团队合作意识；5、正直诚信，忠于企业，传承企业文化，愿意与企业一起发展成长；6、具有一定的金融行业知识，具有股票、外汇、期货、贵金属投资等相关业务从业经历者优先。对无相关从业经验者提供带薪培训，并在实习期内根据个人能力，定向发展成为：分析师助理（储备分析师），经理助理（储备经理）。任职要求 ：1、对企业相关部门岗位轮岗轮训，熟悉操作流程，累计实习经验；2、学习掌握基础分析知识，定期对金融市场定向研究，撰写市场分析报告；3、协助分析师完成对公司客户及会员进行技术分析维护，控制风险，帮助客户稳定盈利；4、完成各部门各岗位实习考核任务，实习期具有一定淘汰率；5、一个月试用期通过公司标准，转正后获得高额薪水、固定期限劳动合同，开启璀璨人生之路。用人理念： 1、你可以没有显赫学历，但要有一直学习新事物的精神，对新鲜的东西拥有强烈的求知欲；2、你可以没有就读名校，但要证明你的能力不输于那些所谓名校的高材生；3、你可以没有金融知识，但要对金融行业有强烈的热情和兴趣；4、你可以没有工作经验，但要有梦想、有目标，要积极向上、勇于担当。联系方式：公司地址： 北京市东城区广渠门内嘉禾国信309室公司主页： www.finance-bj.com人事部电话： 13693344039人事部经理：高宇小伙伴棒棒哒！我们期待你的加入，一起发挥小宇宙
                ",北京万向联合控股集团有限公司,金融,股份制,NULL, 101－300人,NULL,2018-3-3,http://www.chinahr.com/job/6158924808129799.html,中华英才网
金融数据分析专员及助理 技术岗位,NULL,北京-东城区,全职,2年经验,本科,8000-15000,NULL,NULL,"绩效奖金,五险一金,交通补贴,话费补贴,弹性工作,帅哥美女多,下午茶充足,","岗位职责:薪资】：1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。薪资：底薪6000+补助+五险一金【任职资格】：1.大专及其以上学历，年龄20-40岁之间，性别不限,专业不限；退伍军人、应届毕业生均可；2.接受免费统一的专业学习培训和模拟训练。3.成绩优秀的将逐步晋升为中级、高级。3.认同公司的发展理念，愿意与公司共同发展。4.具有很强的工作责任心和团队合作精神。5，★简单正能量的工作氛围，无恶性竞争公司是以爱和感恩为核心的企业文化，我们简单、坦诚、真诚、正能量，不存在恶性竞争、上下级复杂关系等。【我们为您提供】：1、过年提早回家晚点进城满满的都是假期2、每月享有带薪病假，休息时也会有工资拿；3、弹性的工作时间，让你工作自由安排；4、提供各种高大上下午茶、晚餐及零食；5、各种高端大气上档次的团队建设；6、专属每位员工的生日派对、礼物、和小伙伴们最真挚的祝福7、不定时不定量的微信抢红包的惊喜活动，等你来抢；8、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；9、饭补、话补、交通补、结婚红包、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你；10、最重要的是来到这里，你将拥有最广阔的职业发展空间，最充足的资源支持，最人性化的管理，不管你在那个岗位，只要你可做，就有机会成为部门leader进而走进公司高级管理层。11、年终公司奖励优秀员工旅游（可带父母）如果你想让自己拥有更多的成长和变化.......那么请点击“立即申请”或通过以下方式联系我们：","
                    【岗位职责及薪资】：1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。薪资：底薪6000+补助+五险一金【任职资格】：1.大专及其以上学历，年龄20-40岁之间，性别不限,专业不限； 退伍军人、应届毕业生均可；2.接受免费统一的专业学习培训和模拟训练。 3.成绩优秀的将逐步晋升为中级、高级。 3.认同公司的发展理念， 愿意与公司共同发展。 4.具有很强的工作责任心和团队合作精神。5， ★简单正能量的工作氛围，无恶性竞争公司是以爱和感恩为核心的企业文化，我们简单、坦诚、真诚、正能量，不存在恶性竞争、上下级复杂关系等。【我们为您提供】： 1、过年提早回家 晚点进城 满满的都是假期2、每月享有带薪病假，休息时也会有工资拿；3、弹性的工作时间，让你工作自由安排；4、提供各种高大上下午茶、晚餐及零食；5、各种高端大气上档次的团队建设；6、专属每位员工的生日派对、礼物、和小伙伴们最真挚的祝福7、不定时不定量的微信抢红包的惊喜活动，等你来抢；8、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；9、饭补、话补、交通补、结婚红包、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你；10、最重要的是来到这里，你将拥有最广阔的职业发展空间，最充足的资源支持，最人性化的管理，不管你在那个岗位，只要你可做，就有机会成为部门leader进而走进公司高级管理层。11、年终公司奖励优秀员工旅游（可带父母）如果你想让自己拥有更多的成长和变化.......那么请点击“立即申请”或通过以下方式联系我们：
                ",北京万向联合控股集团有限公司,金融,股份制,NULL, 101－300人,NULL,2018-3-3,http://www.chinahr.com/job/5805464933206279.html,中华英才网
"开发总监（java,大数据）",NULL,北京-丰台区,全职,5年经验,本科,20000-30000,NULL,NULL,"年终奖,五险一金,带薪年假,节日福利,晋升空间大,办公室漂亮,员工培训,",岗位职责:带领公司研发团队，指导关键技术模块。2、参与产品方案的讨论、进行技术调研并解决开发中的技术难题。3、对业务部门提供技术支持，负责IT运营方面的技术支持工作。4、能有效协调产品开发的各个环节及各部门资源，把握开发产品的整体进度。5、负责技术团队的建设、考评、培养，持续提升团队工作热情、工作质量和工作效率。技能要求1、大专以上学历，计算机相关专业，5年以上开发经验，有企业级应用开发经验；2、精通Java/J2EE编程，有丰富的SSM/SSH或类似框架的实际项目经验，熟悉各种常用设计模式；3、有大数据量、高并发、高可用、高安全的系统开发经验（重点）；4、熟悉Redis和memchache缓存服务器应用设计6、熟悉MySQL/SQLServe等主流关系数据库和NoSql数据库开发调优；7、熟练掌握常用的Linux命令、编写Shell脚本、独立完成项目环境的搭建测试；8、熟练Javascript，aJax、熟练使用jQuery等前端开发框架9、有技术构架能力，较强的分析、设计和文档能力，工作积极主动、为人踏实，责任感强，良好的团队精神；10、精通各种敏捷开发的原则、设计模式，并以面向对象和接口的方式给予实现；11、具备很强的责任心、沟通能力、进取精神、执行力，能承受一定压力。12、有中/大型互联网公司工作经验者优先。,"
                    岗位职责1、带领公司研发团队，指导关键技术模块。2、参与产品方案的讨论、进行技术调研并解决开发中的技术难题。3、对业务部门提供技术支持，负责IT运营方面的技术支持工作。4、能有效协调产品开发的各个环节及各部门资源，把握开发产品的整体进度。5、负责技术团队的建设、考评、培养，持续提升团队工作热情、工作质量和工作效率。技能要求1、大专以上学历，计算机相关专业，5年以上开发经验，有企业级应用开发经验；2、精通Java/J2EE编程，有丰富的SSM/SSH或类似框架的实际项目经验，熟悉各种常用设计模式；3、有大数据量、高并发、高可用、高安全的系统开发经验（重点）；4、熟悉Redis和memchache缓存服务器应用设计6、熟悉MySQL/SQLServe等主流关系数据库和NoSql数据库开发调优；7、熟练掌握常用的Linux命令 、编写Shell脚本、独立完成项目环境的搭建测试；8、熟练Javascript，aJax、熟练使用jQuery等前端开发框架9、有技术构架能力，较强的分析、设计和文档能力，工作积极主动、为人踏实，责任感强，良好的团队精神；10、精通各种敏捷开发的原则、设计模式，并以面向对象和接口的方式给予实现；11、具备很强的责任心、沟通能力、进取精神、执行力，能承受一定压力。12、有中/大型互联网公司工作经验者优先。
                ",北京恒冠国际科技服务有限公司,咨询,民营私企,NULL, 51－100人,NULL,2018-3-3,http://www.chinahr.com/job/6434166641855746.html,中华英才网
