city,company,company_finance,company_size,company_type,company_url,date,department,education_requirement,experience_requirement,industry,major_requirement,monthly_salary_range,position_advantage,position_cleaned,position_info,position_tag,posted_url,posted_website,recruit_count,专业要求,公司主页,公司名称,公司性质,公司行业,公司规模,原始URL,发布日期,发布网站,学历,岗位介绍,工作地点,工作性质,招聘人数,经验,职位名称,职位诱惑,薪资,融资阶段,部门
,,,,,,,,,,,,,,,,,,,,,,上海海若邻度假服务有限公司,民营公司,"酒店, 旅游",50-150人,http://jobs.51job.com/shanghai-hpq/96765115.html?s=01&t=0,05/02/2018,前程无忧,本科,岗位职责1、对业务和客户体验数据进行整理、收集、挖掘、建模等；2、基于监控和分析指标搭建数据体系，形成运营报表模板并输出，对异常情况做异常预警；3、深入了解业务，为各业务、服务板块建立、执行及完善监控报表、分析报告；4、根据业务数据表现，对总部及全国各分公司指标达成和部门经营水平进行科学预测；5、与相关工作人员做各类数据需求的对接，推动业务、服务水平的改进与发展。任职资格:1、拥有3年以上互联网行业数据挖掘分析，具有一定的软件开发能力；2、精通Excel，熟练使用SPSS、R或SAS任一软件；3、熟悉Oracle、Mysql或SQLsever其中一种，可熟练编写sql语句；4、良好的数据分析能力，有丰富的数据分析、挖掘、清洗和建模的经验；5、出色的学习能力，能快速了解业务并设计相应的数据模型；6、性格稳重，有良好的职业道德和职业操守，有独立工作和承受工作压力的能力7、热爱旅游行业。,上海-黄浦区,,1.0,3-4年经验,数据分析师,"五险一金,补充医疗保险,补充公积金,餐饮补贴",12000-20000,,
,,,,,,,,,,,,,,,,,,,,,,北京中兴通控股有限公司,多元化业务集团公司,,500-1000人,http://jobs.51job.com/beijing-hdq/98322421.html?s=01&t=0,05/02/2018,前程无忧,本科,,北京-海淀区,,1.0,3-4年经验,数据分析师,"五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,年终奖金,定期体检",30000-40000,,
,,,,,,,,,,,,,,,,,,,,,,旅拍文化传播（上海）有限公司无锡分公司,合资,"互联网, 电子商务,影视, 媒体, 艺术, 文化传播",1000-5000人,http://jobs.51job.com/wuxi/90967757.html?s=01&t=0,05/02/2018,前程无忧,,岗位职责1、根据公司战略，进行数据产品运营规划；2、根据公司平台模式及渠道特点制定规范业务流程，制定运营规则；3、有平台运营经验，平台数据收集、分析、统计用户活跃度，用户层次。要有一定的经营理念和平台运维经验。4、与产品、技术等团队协作，通过产品开发和运营落地，持续完善、拓展和提高平台用户体验；5、有数据分析或数据运营类相关工作经验者优先。6、有一定的行政能力，沟通协调能力强。直接向总经理汇报工作任职资格1、本科及以上学历，数学、统计学、经济学等相关专业，熟悉互联网产品和服务；2、对产品和数据运营敏感，具备逻辑思维能力，至少掌握一款数据分析软件，excel、spss、sas；3、有较强的计划与执行能力，良好的沟通协作能力，擅于发现和解决问题，责任心强，踏实肯干、诚实敬业，能够主动承受工作压力；4、熟悉oracle，mysql等数据库，掌握SOL、R语言、Python者优先。,无锡,,1.0,无工作经验,"数据运营专员, ","绩效奖金,年终奖金,餐饮补贴,弹性工作",3000-6000,,
,,,,,,,,,,,,,,,,,,,,,,杭州海康威视数字技术股份有限公司,合资,"电子技术, 半导体, 集成电路",10000人以上,http://jobs.51job.com/hangzhou-bjq/85427339.html?s=01&t=0,05/02/2018,前程无忧,硕士,工作职责：大数据挖掘领域的前沿技术研究及算法开发。岗位要求：1.统计学及相关应用数学专业，硕士及以上学历；2.扎实的统计学、数据挖掘理论基础，对大数据挖掘领域有兴趣；3.具有良好的数据敏感度和优秀的数据分析技能;4.有一定编程经验。,杭州-滨江区,,1.0,无工作经验,"大数据算法工程师, 数据挖掘, ","五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,专业培训,年终奖金,股票期权,弹性工作,定期体检",20833-50000,,
,,,,,,,,,,,,,,,,,,,,,,北京位来小猎科技有限公司,创业公司,"计算机服务(系统、数据服务、维修),外包服务",50-150人,http://jobs.51job.com/beijing-cyq/98012785.html?s=01&t=0,05/02/2018,前程无忧,,岗位职责1、根据公司需要，在各大网站发布职位信息。2、调查公司所需人才的外部人力资源存量与分布状况，并进行有效分析，对招聘渠道实施规划、维护、拓展，保证人才层次丰富、质量高，确保招聘渠道能有效满足公司的用人需求。3、搜集简历，对简历进行分类、筛选，汇总。4、负责招聘广告的撰写，招聘网站的维护和更新，以及招聘网站的信息沟通。5、总结招聘工作中存在的问题，提出优化招聘制度和流程的合理化建议，完成招聘分析报告。6、负责建立企业人才储备库，做好简历管理与信息保密工作。任职资格：1、财务，会计，经济等相关专业大专及以上学历；2、熟悉现金管理及银行结算，财务软件操作；3、熟练运用用友办公自动化软件及相关财务软件；4、掌握基本财务知识，熟悉财务管理制度。福利情况：1、创业公司晋升速度快晋升通道清晰畅通，具体看能力（晋级快）2、创业公司待处理事务多，锻炼全面，可以快速学习提升自己（个人提升快）3、周末双休4、住宿补贴（房租自己出500剩下的公司补）5、入职就上五险一金（五险一金）6、扫地僧谈话机会（几位老板话痨）7、绩效奖（能者多得！！！）8、6000底薪职能类别：统计员财务助理/文员数据统计员数据挖掘师数据采集关键字：出纳员财务会计助理财务审计税务会计助理会计文员统计员,北京-朝阳区,,1.0,无工作经验,数据挖掘工程师,"五险一金,专业培训,绩效奖金,弹性工作",6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,北京微播易科技股份有限公司,民营公司,"互联网, 电子商务,影视, 媒体, 艺术, 文化传播",150-500人,http://jobs.51job.com/beijing/72685611.html?s=01&t=0,05/02/2018,前程无忧,,岗位职责：1、社交平台用户行为分析；2、特征值提取与分析；3、建立数学模型对用户行为进行预测。任职资格：1、计算机、数学、统计或其他相关领域本科或本科以上学历；2、有机器学习或数据挖掘相关工作经验；3、熟悉常用的数据结构和算法；4、有扎实的编程基础，至少能够熟练使用一种编程语言；5、熟悉python或java的优先；6、有一定的分布式数据处理经验；熟悉hadoop的优先；7、逻辑分析能力强。8、有数据Web可视化经验者优先,北京,,1.0,3-4年经验,数据挖掘工程师,,15000-20000,,
,,,,,,,,,,,,,,,,,,,,,,上海好居信息科技有限公司,民营公司,"互联网, 电子商务,计算机软件",150-500人,http://jobs.51job.com/shanghai-pdxq/93820069.html?s=01&t=0,05/02/2018,前程无忧,本科,工作职责：1、负责调研相关渠道可行性分析，包括解析方案等；2、建立爬虫监测体系，及时分析及解决爬虫在运行过程中出现的缺陷；3、根据开发进度和任务分配，按时高质量完成相应功能模块设计与开发实现；4、深刻理解爬虫系统架构，能对系统架构提出自己的见解和优化方案；5、生产环境爬虫系统的监控和维护，及时发现和修复线上问题；6、积极完成上级领导安排的工作任务，保证任务按质按量完成；7、处理领导其他交办事项。岗位要求1、全日制本科及以上，3年以上Java开发经验，1年以上数据抓取工作经验；2、了解分布式基本知识，了解java进程间通讯技术；3、熟悉爬虫相关技术，如：httpClient、jSoup、xpath、正则表达式等；4、熟悉Linux常用命令，独立完成日常部署更新等；5、熟悉python优先，有app研发背景或app爬虫开发经验佳，有逆向经验尤佳；6、具备较强的团队协作精神，工作责任心强，良好的沟通、理解、执行能力。,上海-浦东新区,,2.0,3-4年经验,爬虫开发工程师,"五险一金,弹性工作,带薪年假,节日福利,技术大牛多",15000-30000,,
,,,,,,,,,,,,,,,,,,,,,,万得信息技术股份有限公司（Wind资讯）,民营公司,"计算机软件,金融, 投资, 证券",1000-5000人,http://jobs.51job.com/shanghai-pdxq/84742050.html?s=01&t=0,05/02/2018,前程无忧,本科,"工作职责：1、和大数据工程师、数据科学家共同工作,探索可视化在金融业务场景的技术方案和产品应用；2、开发展示为主的数据大屏和业务分析为主的数据产品以及在移动端数据可视化项目;3、负责数据产品/可视化大屏的前端架构和应用后台及通用组件的开发任职要求：1、本科及以上学历，功底扎实，视野开阔，对新技术具有敏感和热情；2、工程能力强，熟悉AxureRP等设计工具,有较复杂的WebApp类型产品前端开发经验；3、熟悉数据可视化开源方案，有数据分析场景/数据可视化经验者(ECharts/Highcharts/D3)优先；4、技术跟随前沿,熟悉Servlet,HTML5,JavaScript,Json,了解Node/AngularJS/React；5、熟悉Web后台性能优化和前端展示技术;5、熟悉1-2种分析型数据库(如DB/Hive/Neo4j)者优先；6、性格要求：性格开朗，勇于挑战；良好的人际关系，对技术追求工匠精神。",上海-浦东新区,,1.0,3-4年经验,大数据可视化工程师,,,,
,,,,,,,,,,,,,,,,,,,,,,南京云创大数据科技股份有限公司,上市公司,计算机软件,150-500人,http://jobs.51job.com/nanjing/94262441.html?s=01&t=0,05/02/2018,前程无忧,本科,"岗位职责1.对公司现有大数据相关需求进行开发；2.负责对公司大数据平台进行优化与完善；3.负责大数据应用算法的设计、研发与产品优化；岗位要求1.1年以上park平台开发维护经验；2.有扎实的数据挖掘理论和数据结构算法技术基础,对聚类、分类、协同过滤、预测、时间序列、图论、神经网络等有过深入研究；3.熟练使用java、scala语言；4.熟悉Hadoop、Spark、Storm、Hbase等大规模分布式数据分析框架、并对其原理有较深的了解；5.有过数学建模经验，较强的数据分析能力，对数据敏感，能从海量数据中发现有价值的规律；6.熟悉数据挖掘和机器学习的相关算法，有较强的编程能力；【薪酬福利】1.双休+五险一金+商业补充医疗保险；2.中餐、全勤奖、过节费、婚礼、生育礼金统统有；3.优秀员工、团队奖励，月月评选，月月发；4.各种培训机会及交流分享；5.行业内有竞争力的薪酬；6.还有，丰厚的股票期权；7.浮动制年终奖8.不定期下午茶、Outing；9.还有部分员工宿舍提供【班车接送站点】：河定桥、常府街、下马坊（地铁站）公司地址：南京白下高新中国云计算创新基地A栋九层",南京,,2.0,3-4年经验,"大数据开发工程师, Hadoop, ","补充医疗保险,员工旅游,年终奖金,专业培训,股票期权,全勤奖,牛人团建,人性化加班,双休六险一金",8000-16000,,
,,,,,,,,,,,,,,,,,,,,,,深圳市腾讯计算机系统有限公司,民营公司,"互联网, 电子商务",500-1000人,http://jobs.51job.com/shenzhen/98304835.html?s=01&t=0,05/02/2018,前程无忧,本科,负责腾讯游戏运营支撑数据平台的建设；负责海量数据的接入、计算、存储、查询和分析；参与数据平台自助化建设。计算机相关专业，3年及以上相关工作经验，有扎实的计算机理论基础；精通Java/Scala/Python程序开发(至少一种)，熟悉Linux/Unix开发环境；深入理解MapReduce，熟练使用Storm、Hadoop、Spark、Flink，并阅读部分源码；熟练使用HDFS、Hbase、Kafka、ElasticSearch、InfluxDB；具有高扩展性、高性能和分布式系统的实践经验；对分布式系统以及消息队列中间件有实践经验；具有SparkStreaming、MLlib使用经验优先；?具有良好的沟通能力、学习能力、分析解决问题能力；具有高度的责任心和团队合作精神。,深圳,,1.0,3-4年经验,"大数据研发工程师, , ",,,,
,,,,,,,,,,,,,,,,,,,,,,上海司羽通信设备有限公司,民营公司,"通信, 电信, 网络设备,互联网, 电子商务",500-1000人,http://jobs.51job.com/shanghai/84946744.html?s=01&t=0,05/02/2018,前程无忧,大专,岗位职责：1、调用链产品研发工作，实现跨系统调用链的串联、应用与容器间的关联串联、容器与主机间的串联。了解埋点技术、字节码增强技术、了解Drapper论文的核心思路。2、核心流式处理程序的研发工作。3、审核管理项目组的技术质量4、负责产品化提炼。5、编制核心的技术文档。任职资格：业务要求:了解互联网智能运维体系或熟悉电信受理、充值支付业务技术要求：1、精通JAVA开发，熟悉多线程编程。2、了解APM系统，如pinpoint、zipkin、drapper、鹰眼系统等。3、了解dubbo、消息队列。4、熟悉HBASE、redis、MYSQL，熟悉STORM、HADOOP开发。5、良好的代码版本管理的方法。工作经验（含项目经验）：5年以上开发经验工作地点：上海市秀沿西路189号中国电信信息园区B4楼注：公司在世纪大道地铁站和杨思地铁站有免费班车，上班时间朝九晚五，周末双休。,上海,,3.0,5-7年经验,"高级Java开发工程师, ","五险一金,弹性工作,专业培训,免费班车,绩效奖金,年终奖金",20000-30000,,
,,,,,,,,,,,,,,,,,,,,,,夸客金融,合资,"金融, 投资, 证券,互联网, 电子商务",5000-10000人,http://jobs.51job.com/shanghai-hpq/97887533.html?s=01&t=0,05/02/2018,前程无忧,本科,"公司地址：蒙自路207号互联网金融产业园区5号楼（9号线/13号线-马当路站，3号口往南约600米）福利信息：周末双休，五险一金，补充医疗保险，绩效奖，饭贴，年度体检，年度旅游，团队建设活动。公司官网：www.*****.com。微信号：*****.岗位职责：1.数据产品开发及维护60%根据业务需求开发并维护业务报表；对业务核心指标持续监控及跟踪分析，并对异常波动情况进行深入分析和问题定位深入了解公司业务，为业务团队提供数据分析及业务诊断，并对业务发展提供决策建议主导数据挖掘及各类建模工作，并推动数据挖掘及建模技术在业务中的实现及应用为公司大项目提供数据分析支持2.研究新领域25%研究新技术领域在公司业务中的应用研究金融行业的新发展包括监管及市场变化，优化数据分析研究数据领域的新动态，开拓并接入新数据源，为公司业务增长提供新途径3.培养员工15%培养和入门的数据分析师任职要求：1.最低学历：本科（全日制）及以上，硕士研究生优先2.专业要求：金融/经济/统计/数理化工程等理工科3.工作经验：本科学历：有3-5年及以上银行、P2P、金融，风险控制相关工作经验者；硕士研究生学历：应届毕业生或者1-3年及以上银行、P2P、金融，风险控制相关工作经验者4.专业知识：统计学硕士、博士优先5.技能技巧：1）积极向上的工作态度及学习精神，善于承受工作压力及挫折，有较强的执行力2）逻辑性强，分析能力优秀3）会多种统计建模及数据分析的技能4）熟练使用Office办公软件5）会使用SQL、Access、R、Python、SAS等数据分析软件者优先6）熟练掌握SQL语言，并熟悉一种或几种关系型数据库，如mySQL,Oracle,Hive,Teradata等",上海-黄浦区,,2.0,无工作经验,", 资深, 数据分析师","五险一金,补充医疗保险,员工旅游,餐饮补贴,绩效奖金,定期体检,带薪休假",15000-35000,,
,,,,,,,,,,,,,,,,,,,,,,银泰商业集团（杭州）,外资（欧美）,"物业管理, 商业中心",10000人以上,http://jobs.51job.com/hangzhou-xcq/98320826.html?s=01&t=0,05/02/2018,前程无忧,本科,,杭州-下城区,,1.0,3-4年经验,数据分析师,,12500-16666,,
,,,,,,,,,,,,,,,,,,,,,,考拉征信服务有限公司,民营公司,"金融, 投资, 证券,互联网, 电子商务",150-500人,http://jobs.51job.com/beijing-hdq/92591004.html?s=01&t=0,05/02/2018,前程无忧,本科,工作职责：1、负责数据仓库架构设计、建模以及ETL开发，构建可扩展的数据仓库以及数据分析解决方案；2、负责公司日常运营报表的计算与维护；3、完成项目数据梳理、，设计埋点、数据模型，提供统计、分析服务；4、明确业务分析需求，设计、完成相应的实施方案职位要求：1.3年及以上的数据仓库建设经验;2.熟悉数据仓库各类建模理论，以及数据仓库数据层级关系，具备大型数据仓库逻辑模型和物理模型设计经验；3.有元数据管理、数据质量管理、主数据管理经验者优先；4.有Hadoop、Hive等分布式计算平台使用经验者优先；5.有互联网金融、银行、保险及征信等行业应用经验者优先；6.具备良好的团队合作精神，良好的分析能力与沟通技巧,北京-海淀区,,1.0,5-7年经验,数据仓库工程师,"五险一金,年终奖金",15000-25000,,
,,,,,,,,,,,,,,,,,,,,,,广州优亿信息科技有限公司,民营公司,"通信, 电信, 网络设备,通信, 电信运营、增值服务",50-150人,http://jobs.51job.com/guangzhou/87086740.html?s=01&t=0,02/02/2018,前程无忧,本科,职位描述：岗位职责：1)与需求人员沟通，掌握业务需求，理解业务规则2)根据业务需求进行表设计，并从数据源抽取数据到业务表，主要是从hive表抽数到mysql表3)负责数据实施过程中的数据库管理、数据提取等工作4)负责项目相关的技术支持和服务，如sql的优化，数据库的性能调优职位要求：1)计算机相关专业本科以上学历，有3年以上mysql数据开发经验、2年以上hive平台开发经验2)熟悉Mysql等主流数据库的存储过程开发及性能调优3)熟悉linux环境和命令，能编写简单的shell脚本；4)熟悉Hadoop、Hive平台，有相关应用开发经验优先考虑5)会java、python等编程语言，可优先考虑,广州,,1.0,无工作经验,"数据工程师, ","餐饮补贴,绩效奖金,年终奖金",8000-10000,,
,,,,,,,,,,,,,,,,,,,,,,亚信软件CTC,合资,计算机软件,10000人以上,http://jobs.51job.com/guangzhou/89871720.html?s=01&t=0,05/02/2018,前程无忧,,"岗位要求：1.2年以上大数据相关工作经验；2.熟练掌握Hadoop、Spark生态系统组件（MR、HBase、Hive、ZooKeeper、SparkSQL、SparkMlib等），有相关大数据架构,开发成功案例；3.熟悉hadoop相关各种开源项目，HiveHbase等有实际应用开发经验；4.熟悉Linux工作环境，熟悉SQL语言，除MySQL之外，至少熟悉以下一种NoSQL数据库：MySQL/HBase/Redis/MongoDB；5.对大数据行业有强烈兴趣，较强的团队合作与沟通能力，对解决挑战型问题充满激情；",广州,,2.0,2年经验,Hive开发工程师,"五险一金,补充医疗保险,通讯补贴,绩效奖金,年终奖金,定期体检",8000-15000,,
,,,,,,,,,,,,,,,,,,,,,,彩讯科技股份有限公司,民营公司,"通信, 电信运营、增值服务,互联网, 电子商务",1000-5000人,http://jobs.51job.com/beijing/92872181.html?s=01&t=0,05/02/2018,前程无忧,大专,岗位职责：1、负责项目分析所需数据的处理工作，为分析和运营人员提供数据支撑；2、总结业务需求规律，构建和维护中间表，优化数据预处理；3、负责数据分析应用报表开发；4、负责总结数据质量问题，定期向项目组报告。任职要求：1、大学专科3年以上工作经验，计算机相关专业；2、至少2年大数据类项目数据开发支撑经验；3、熟悉Hadoop相关技术，深刻理解MR原理和过程；4、精通HiveSQL，掌握基本的HQL优化技能；5、良好的服务意识和积极的沟通能力；6、熟悉电信运营商业务，具备运营商项目驻点支撑经验优先。,北京,,1.0,3-4年经验,Hive数据开发工程师,"五险一金,通讯补贴,定期体检,绩效奖金",15000-18000,,
,,,,,,,,,,,,,,,,,,,,,,杭州顶象科技有限公司,民营公司,"互联网, 电子商务",50-150人,http://jobs.51job.com/hangzhou-yhq/98321986.html?s=01&t=0,05/02/2018,前程无忧,,,杭州-余杭区,,1.0,无工作经验,资深java开发工程师,,15000-25000,,
,,,,,,,,,,,,,,,,,,,,,,精锐教育,外资（欧美）,"教育, 培训, 院校,专业服务(咨询、人力资源、财会)",5000-10000人,http://jobs.51job.com/shanghai-ptq/95001675.html?s=01&t=0,05/02/2018,前程无忧,本科,"职位描述：1、负责平台架构重构及优化、开发、维护；2、负责程序的开发指导及进度管理；3、负责平台的性能评测、容量评估，线上技术问题跟踪和处理；4.相关模块的内部开发测试、联调、优化；5.针对目前技术架构体系和业务流程进行改善，从质量和效率上持续优化，不断提升用户体验。岗位要求：1、计算机或相关专业本科以上学历；2、5年以上的Java开发、架构经验，3年以上大型项目架构设计经验；3、精通J2EE体系架构，熟练掌握常用设计模式和主流设计工具，具有Java框架自主设计能力，能承担核心模块和核心功能开发，能根据既定产品和项目的特性进行技术架构设计；4、熟练掌握主流开源架构，如Spring、MyBatis/Hibernate、Redis、Memcached、Lucene、Solr；精通大型分布式多层系统的基础架构设计，具备丰富的系统建模经验，熟悉分布式、SOA、缓存技术、并发控制、Linux/Nginx环境；对架构重构分析、分布改进有实战经验；5、熟练掌握MySQL原理与调优，熟悉数据库建模，具备MySQL数据库设计、性能优化经验，具备数据库分库分表实战经验；熟悉一种或多种NOSQL数据库,如Redis、MongoDB、HBase；6、责任心强，具备独立分析和解决问题的能力，有较好的组织、协调能力及团队合作意识，能够承受工作压力；7、热爱技术，喜欢尝试最新的技术，能够自我驱动，并能从技术趋势和思路上能影响技术团队；",上海-普陀区,,2.0,3-4年经验,java开发工程师,"五险一金,年终奖金,股票期权,绩效奖金,定期体检,专业培训",16666-25000,,
,,,,,,,,,,,,,,,,,,,,,,苏州瑞翼信息技术有限公司,民营公司,"通信, 电信运营、增值服务,互联网, 电子商务",150-500人,http://jobs.51job.com/suzhou-gyyq/90108902.html?s=01&t=0,05/02/2018,前程无忧,本科,岗位职责：1、承担精准营销平台服务端开发工作；2、负责精准营销平台各组件性能调优；3、负责精准营销平台数据持久化层高可用方案设计与实施；4、理解业务，识别需求，参与分析、设计多领域项目的研发；岗位要求：1、5年及以上服务器端开发经验，本科学历须211院校以上，硕士及以上学历不限院校；2、扎实的Java基础，熟悉JVM、JavaIO，熟练掌握并发编程、网络编程，掌握常常用数据结构及算法；3、深入了解Spring、Hibernate、Tomcat等开源架构，并对其运行原理有较好的理解。熟练掌握单元测试技术；4、熟悉面向对象开发，具备领域模型抽象能力，熟悉常用设计模式。5、熟悉分布式、缓存、消息等机制。有高并发，高性能系统开发经验，熟悉微服务架构设计；6、熟练掌握MySQL或PostgreSQL等关系型数据库，熟练掌握MongoDB、HBase或Cassandra等NoSQL数据库，并有性能调优经验；7、有强烈的技术热情和钻研精神，注重代码质量，有良好的软件工程知识和编码规范意识；8、具备较强的责任心，具备良好的沟通能力、团队协作和抗压能力，做事精益求精。,苏州-工业园区,,2.0,5-7年经验,"高级, Java开发工程师",,20000-30000,,
,,,,,,,,,,,,,,,,,,,,,,即有分期,民营公司,"金融, 投资, 证券",10000人以上,http://jobs.51job.com/shenzhen-ftq/98323881.html?s=01&t=0,05/02/2018,前程无忧,本科,,深圳-福田区,,1.0,5-7年经验,"高级架构师, ",,25000-35000,,
,,,,,,,,,,,,,,,,,,,,,,韩领网络科技（上海）有限公司,外资（非欧美）,"互联网, 电子商务,计算机软件",150-500人,http://jobs.51job.com/shanghai-pdxq/98324978.html?s=01&t=0,05/02/2018,前程无忧,本科,,上海-浦东新区,,1.0,8-9年经验,"Java, ","五险一金,补充公积金,绩效奖金,年终奖金,弹性工作,定期体检,出国机会,专业培训",28000-40000,,
,,,,,,,,,,,,,,,,,,,,,,北京捷通华声科技股份有限公司,上市公司,"互联网, 电子商务,计算机软件",150-500人,http://jobs.51job.com/beijing/80225219.html?s=01&t=0,05/02/2018,前程无忧,本科,"七个工作方向：（一）引擎开发方向1.负责语音合成/语音识别/手写识别/图像识别/自然语言处理等核心引擎的系统设计、编码实现及算法工程优化；2.负责引擎配套的测试、验证工具的设计及开发；3.负责引擎模块的单元测试及整体联调测试。（二）服务器端开发方向1.负责Linux服务器端C++程序的开发和性能调优；2.负责海量数据处理相关的开发；3.负责MySQL数据库和Redis、MongoDB、HBase等NoSQL数据库相关的应用开发；4.参与公司云服务平台的搭建和完善。（三）客服端开发方向1.按照需求和设计文档开发指定的功能模块，独立地进行软件设计、编码和调试；2.能够在工作中快速学习，熟悉SDK；3.能够有效的参与到SDK的升级开发设计中，并能够自我驱动，完成SDK的版本升级。（四）智能图像、智能语音应用开发方向1.开发基于图像识别、语音识别引擎的应用软件和接口封装工作；2.参与项目需求分析和设计讨论，制作文档。（五）智能终端开发方向1.负责Linux平台SDK产品的开发和性能调优；2.负责Linux平台SDK产品在Windows/Android(NDK)平台上的移植；3.参与公有云服务平台的完善。（六）能力平台开发方向1.按照需求和设计文档开发指定的功能模块，独立地进行软件设计、编码和调试；2.能够在工作中快速学习，熟悉能力平台（Linux服务）；3.能够对开发过程以及支持过程中快速找寻解决方案；4.工作中不断熟悉并掌握linux，ASR、OCR、TTS、NLU相关开发调试内容，能够进行相关开发和支持。（七）嵌入式方向：1.负责语音交互相关产品的软件开发、优化及维护，包括驱动开发、阵列录音程序开发、接口软件开发等；2.了解客户的需求，为客户提供语音识别业务及技术解决方案；3.根据项目实施进度和任务分配，完成相关模块软件的设计、开发和编程任务；4.协助上位机软件开发人员进行开发、联调；5.完成其他软件开发相关任务。任职资格：1.学历要求：-毕业于统招本科及以上学历,985/211。2.工作经验：-精通C/C++，熟悉Windows/Linux开发环境，有丰富的数据结构和算法知识；-有多线程、高并发经验，熟悉MFC/QT界面开发，熟悉linux编程，熟悉TCP/IP网络编程。3.能力要求：-具备规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；-具备较好的学习能力、问题分析能力，可以独立调试解决问题；-良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。4.优先考虑：-熟悉多线程开发、交叉编译开发；-熟悉Opencv者优先；-嵌入式经验，有信号处理背景者优先；-语音编解码处理经验及高并发项目开发经验者优先。",北京,,7.0,3-4年经验,", 开发工程师","五险一金,年终奖金,绩效奖金,专业培训",15000-25000,,
,,,,,,,,,,,,,,,,,,,,,,北京融嘉合创科技有限公司西安BI研发中心,民营公司,"计算机软件,计算机服务(系统、数据服务、维修)",150-500人,http://jobs.51job.com/xian/67162383.html?s=01&t=0,05/02/2018,前程无忧,本科,职位职责：1、数据计算平台设计开发和数据库过程、视图开发；2、数据需求、报表需求分析与管理3、ETL设计与实现及数据平台的维护及监控职位要求：1、计算机类相关专业本科以上学历，相关工作经验3年以上2、至少参与开发过一个银行数据仓库项目3、熟悉银行核心、信贷、票据、总账、监管报送等一个或多个系统4、熟练ETL存储过程开发（Teradata、Oracle、DB2、mysql等）5、熟悉Hadoop、Hive、HBase、Sqoop等主流的分布式大数据技术福利待遇：1、绩效+奖金+年终奖+五险一金+岗前专业培训+各类补贴；2、公司每一年调薪1-2次，根据员工工作表现及公司发展情况，调整幅度不等；3、工作时间：周一至周五8：30—18：00，周末双休+国家法定休假日；4、办公环境优美，人际关系轻松、和谐；5、丰富的团队活动：各种单项奖以及不定期举行户外旅游活动：漂流、拓展、爬山、温泉、聚餐、K歌等；6、工作满一年员工享有公司规定的年休假；员工享受带薪假同时享受在岗基本福利待遇。工作地点：西安,西安,,2.0,3-4年经验,高级数据开发工程师,"五险一金,专业培训,补充医疗保险,交通补贴,绩效奖金,年终奖金,员工旅游",10000-15000,,
,,,,,,,,,,,,,,,,,,,,,,太原鹏跃电子科技有限公司,国企,"电子技术, 半导体, 集成电路,计算机软件",50-150人,http://jobs.51job.com/taiyuan/98252961.html?s=01&t=0,05/02/2018,前程无忧,本科,,太原,,2.0,无工作经验,系统架构师,"五险一金,年终奖金,餐饮补贴",6000-8000,,
,,,,,,,,,,,,,,,,,,,,,,世纪佳缘网,上市公司,"互联网, 电子商务",500-1000人,http://jobs.51job.com/beijing-cyq/97875253.html?s=01&t=0,05/02/2018,前程无忧,本科,岗位职责：1.负责公司大数据业务集群的运维工作（Hadoop/Hbase/Hive/Yarn/Spark/Elasticsearch/Zookeeper/Sqoop等）确保高可用2.负责集群容量规划、扩容、迁移及性能优化；3.设计实现大规模分布式集群的运维、监控和管理平台；4.参与业务架构设计，在设计阶段给出可运维性改进建议。任职要求：1.一年以上大数据系统运维或开发经验，熟悉Hadoop/Hbase/等大数据系统；2.至少掌握perl/python/shell中的一种脚本语言；3.熟悉Linux操作系统的配置、管理及优化，能够独立排查及解决操作系统层面的问题；4.掌握简单java编程者优先；5.具有较强的团队意识与良好的沟通能力，高度的责任感，较强的学习能力以及快速解决问题的能力；6.对大数据方向运维有很高的热情和兴趣，能主动学习了解相关知识。,北京-朝阳区,,1.0,无工作经验,运维工程师,,10000-15000,,
,,,,,,,,,,,,,,,,,,,,,,银联商务有限公司厦门分公司,民营公司,"金融, 投资, 证券",150-500人,http://jobs.51job.com/xiamen/91614740.html?s=01&t=0,05/02/2018,前程无忧,,"岗位职责1、负责产品开发；2、负责指导、处理、协调和解决项目中出现的技术问题；3、根据公司产品的版本管理规范，完成所负责项目的服务器代码的版本归档、版本变更、版本发布工作。4、负责处理线上版本紧急技术问题，线上版本bug处理；5、负责服务器系统优化，提高性能。任职资格1、软件基础理论知识扎实，具有良好的数据结构、算法功底；2、精通java,对分布式计算、数据挖掘有深入了解者优先；3、熟悉Hadoop、Storm、HBase、Hive等框架者优先；4、具备良好的团队意识及创新思维、自我激励能力，善于与人合作；5、具有良好的表达与沟通能力以及独立思考并解决问题的能力。",厦门,,1.0,无工作经验,Java开发工程师,,6000-8000,,
