,position_info,posted_website,education_requirement,company_url,position_type,company,company_type,position_tag,position_advantage,experience_requirement,recruiting_number,company_finance,department,position,posted_url,major_requirement,company_size,date,monthly_salary_range,recruit_count,industry
10,1、参与爬虫系统的架构设计和研发，独立进行抓取和清洗工作；2、参与爬虫核心算法的策略优化研究；2、根据要求完成相应模块，持续优化代码。任职要求：1、2年以上爬虫相关工作经验有过网络爬虫、网页去重、网页信息抽取优先；2、掌握java/C++/js等语言；3、对网络协议原理等熟知，熟悉web前端，可读懂js代码；4、掌握常见解析方法，会使用正则4、掌握python语言，有一年以上使用经验；5、熟练linux操作，可进行简单维护与脚本编写5、熟练使用nosql数据库中至少一种。6、我们是一家高成长性公司，上班时间相对弹性，能适应加班。,前程无忧,,,,南京小安信息科技有限公司,民营公司,,五险一金,2年经验,招2人,,,网络爬虫工程师,http://jobs.51job.com/nanjing-xwq/94591472.html?s=01&t=0,,少于50人,27/12/2017,10000-15000,2,"[计算机服务(系统、数据服务、维修),计算机软件]"
11,"岗位职责：1、根据不同业务需求沟通协作，实现数据采集、清洗、挖掘数据源归类；2、根据不同项目制定爬虫策略并持续优化采集效率和质量；3、维护现有项目采集规则，优化分词结构；4、负责项目数据采集、清洗、数据库写入，优化数据存储方案5、负责领域知识的定向爬取、深度提取和挖掘任职要求：1、计算机相关专业背景，本科以上学历，三年以上工作经验；2、熟练掌握HTIP、TCP/IP等网络传输协议工作原理；3、熟悉HTML、css、javascript、ajax前端代码，精通正则表达式；4、熟悉关系型数据库的开发Mysql、Mongdb至少一种；熟练掌握至少一种主流的web抓包,开发工具5、对网页数据抓取、信息提取、去重、清洗有一定经验，了解常见反爬虫策略具有网络爬虫相关经验者优先；6、熟练多线程技术、API、自然语言处理、信息检索、机器学习等相关优势经验者优先",前程无忧,大专,,,杭州钱塘大数据交易中心有限公司,合资,,"五险一金,年终奖金,员工旅游,免费班车,定期体检",2年经验,招2人,,,爬虫开发工程师(职位编号：11),http://jobs.51job.com/hangzhou-xsq/94505270.html?s=01&t=0,,50-150人,27/12/2017,8000-15000,2,"[互联网, 电子商务,计算机软件]"
12,主要负责大数据平台的系统搭建；通过scala完成算法及模型的封装；建立后台计算框架，完成自动化计算流程。计算机相关专业，三年及以上工作经验；熟悉java，python，scala等开发语言；深入理解spark/hadoop等大规模分布式计算平台的使用经验；有scala开发经验及有大数据分析平台的系统搭建经验者优先。,前程无忧,本科,,,深圳市腾讯计算机系统有限公司,民营公司,,,3-4年经验,招1人,,,SNG11-spark开发工程师（深圳）(职位编号：35383),http://jobs.51job.com/shenzhen/97329116.html?s=01&t=0,,500-1000人,27/12/2017,,1,"[互联网, 电子商务]"
13,1.负责腾讯医疗相关产品的开发工作，包括html5、css3、js等；2.帮助业务持续优化前端页面的体验和访问速度，主要在大数据可视化方向；1.2年以上前端开发经验，精通html5/css3/javascript等web开发技术；2.熟悉bootstrap，angularjs，reactjs，vue等框架，熟练掌握一种以上；3.对web标准有良好认识，能够高保真还原设计稿，代码风格严谨工整，能够兼容各种浏览器；4.对web前端的性能优化以及web常见漏洞有一定的理解和相关实践；5.？掌握至少一门服务器端编程语言，如nodejs、php；6.具备良好的分析解决问题能力，能独立承担任务，有开发进度把控能力；7.责任心强，思路清晰，具备良好的对外沟通和团队协作能力，主动、好学，抗压能力好；加分项：1.精通php开发；2.精通nodejs开发；3.精通vue；,前程无忧,本科,,,深圳市腾讯计算机系统有限公司,民营公司,,,无工作经验,招1人,,,24111-可视化前端开发工程师(职位编号：34173),http://jobs.51job.com/shenzhen/95887735.html?s=01&t=0,,500-1000人,27/12/2017,,1,"[互联网, 电子商务]"
14,一、岗位职责：1、负责数据仓库和大数据处理模块的架构设计和开发、性能调优2、负责基于Spark技术的海量数据的处理、分析、统计、挖掘工作；3、负责基于Spark技术完成海量数据的机器学习、深度学习等开发工作二、岗位要求：1.计算机或相关专业，本科以上学历2、熟悉Hadoop/Spark生态系统组件的使用，至少有1年的Spark(Core/Streaming/SQL)开发经验；3.熟悉Scala/Java语言，对Scala/Java原理、底层技术有深入研究者优先；4.对新技术有孜孜不倦的热情，具有良好的学习能力、团队协作能力和沟通能力；5有过海量数据系统开发经验者优先；6.有HBase、Kafka、ES(ELK)、图计算、图存储等经验者优先；7.有统计学数学知识，海量数据处理、数据分析和挖掘经验者优先。,前程无忧,本科,,,TCL集团工业研究院,外资（非欧美）,,"五险一金,免费班车,交通补贴,餐饮补贴,专业培训,绩效奖金,定期体检",2年经验,招1人,,,SPARK大数据开发工程师,http://jobs.51job.com/shenzhen/90655460.html?s=01&t=0,,150-500人,20/12/2017,10000-15000,1,"[学术, 科研]"
15,"岗位职责：1、负责网络爬虫的架构设计和开发，搭建高性能、可扩展、稳定的分布式爬虫系统；2、根据需求进行相关的技术调研，形成可行的爬虫技术解决方案；3、解决爬虫相关的各类疑难问题。职位要求：1、全日制本科及以上学历，计算机相关专业；2、一年以上爬虫项目开发经验，精通常用的爬虫语言和框架，熟悉java、c++或python，且熟悉一种以上主流的爬虫工具优先，如webmagic，nutch等；3、精通网页抓取原理及技术、正则表达式、xpath,能够从结构化的和非结构化的数据中获取信息；4、至少熟悉一种关系型数据库，如Mysql、Oracle、MSSQL等；能够开发高效率、高质量的网络爬虫；5、能够解决反爬虫、网络异常等各种常见爬虫问题，有实战经验者优先；6、具有良好的团队合作精神，有较强的解决问题的能力和钻研精神。备注：优秀毕业生可放宽条件。",前程无忧,本科,,,广州荔枝网络有限公司,国企,,"五险一金,弹性工作,专业培训,年终奖金",1年经验,招若干人,,,爬虫工程师,http://jobs.51job.com/guangzhou/85462642.html?s=01&t=0,,150-500人,27/12/2017,5000-10000,0,"[互联网, 电子商务,计算机软件]"
16,"职位描述：1.负责基于Spark的海量数据处理、分析、统计、挖掘工作；2.负责基于开源组件如Kafka、Spark、Hadoop构建统一的计算平台，包含准实时、离线计算，以及计算平台的性能调优；3.负责根据需求使用SparkMachineLearning进行数据分析、挖掘等工作。职位要求：1.计算机相关专业，3年及以上大数据领域工作经验；2.熟悉Hadoop/Spark/Kafka等开源组件的使用，至少有1年的Spark(Streaming/SQL/MLlib)应用开发经验；3.精通Scala/Java/Python语言(至少两种)，熟悉Linux开发环境；4.有海量数据处理、数据分析和挖掘经验者优先,有统计学数学知识者优先；5.有HBase、Hive、ELK等经验者优先；6.有优良的分析解决问题能力，具有良好的学习能力、团队协作能力和沟通能力；7.有统计学数学知识，海量数据处理、数据分析和挖掘经验者优先。",前程无忧,本科,,,上海蓬景数字营销策划有限公司北京分公司,民营公司,,"五险一金,补充医疗保险,交通补贴,餐饮补贴,年终奖金,弹性工作,定期体检",5-7年经验,招1人,,,spark工程师,http://jobs.51job.com/beijing-cyq/95139451.html?s=01&t=0,,150-500人,22/12/2017,15000-20000,1,"[互联网, 电子商务,广告]"
17,1.了解大数据平台技术：Hadoop/Hbase/Hive，2.熟悉至少以下主流语言的1门：C/C++/Java/C#/Python，3.熟悉数据库/Linux；4.文档能力好，有写PPT/文档方案的经验，有较强的沟通协调和演示汇报能力；5.有解决方案编制、项目管理、产品管理、需求分析等经验者优先考虑；6.善于主动思考和自我驱动、具备较强执行力及抗压能力，有很强的独立工作能力和解决问题的能力；,前程无忧,,,,某本地知名IT企业,民营公司,,,无工作经验,招1人,,,文档工程师,http://jobs.51job.com/suzhou-gxq/91020933.html?s=01&t=0,,150-500人,27/12/2017,6000-8000,1,[计算机服务(系统、数据服务、维修)]
18,职位描述：1、负责公司大数据技术预研，测试各种大数据组件，为公司大数据产品选定技术组件和整个数据解决方案；2、参与研发公司大数据产品的数据处理模块；3、负责解决大数据技术的相关问题。任职要求：1、至少1年以上大数据相关工作经验；2、熟悉Oracle、MySQL、SQLServer等至少一种关系型数据库；3、熟悉Hadoop生态相关组件，熟悉Hadoop、Hive、Spark、Presto、HBase、Kylin等至少一种生态组件；4、对Greenplum、Vertica等MPP数据库有一定了解；5、具有Java编程能力，熟悉Linux环境，会编写简单的Shell脚本；6、在数据处理和计算方面具有一定经验，具备互联网工作经验、数据仓库建模经验者优先；7、具有良好的沟通表达能力，可以与其他团队良好协同合作。,前程无忧,本科,,,广州思迈特软件有限公司,民营公司,,"五险一金,补充医疗保险,补充公积金,员工旅游,年终奖金,绩效奖金,专业培训",3-4年经验,招2人,,,数据库工程师,http://jobs.51job.com/guangzhou/97312015.html?s=01&t=0,,150-500人,27/12/2017,15000-20000,2,[计算机软件]
19,岗位职责：1、负责大型互联网平台及业务项目的开发，进行架构设计、应用设计和核心模块编码实现2、维护和升级现有软件服务，快速定位并修复现有软件缺陷；3、负责互联网应用的高效、安全的运行，对代码质量和服务性能有天生的追求；任职要求：1、JAVA基础扎实：精通多线程编程，面向对象设计/设计模式，性能优化；2、本科学历以上，计算机和软件工程相关专业3.5年以上开发工作经验4、熟悉Linux系统的使用，基本的Shell脚本编写，常用的Tomcat/Nginx/Apache的安装配置；5、熟悉JavaWeb开发，有良好的软件工程知识和编码规范意识，精通web软件分层设计；6、关系型数据库设计及SQL，熟悉MySQL／HBase等数据和分布式存储的使用和原理7、熟练掌握目前流行开源框架(Spring/SpringMVC/MyBatis等)；8、具有基于SOA架构的复杂业务系统开发经验；,前程无忧,,,,南京欣网互联网络科技有限公司,民营公司,,"五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金,定期体检",无工作经验,招2人,,,Java高级开发工程师,http://jobs.51job.com/jinan-szq/87374896.html?s=01&t=0,,1000-5000人,27/12/2017,8000-15000,2,"[通信, 电信运营、增值服务,互联网, 电子商务]"
20,,前程无忧,本科,,,博彦科技上海分公司,外资（欧美）,,,3-4年经验,招1人,,,FAST云平台运维管理-上海-03151,http://jobs.51job.com/shanghai/97317841.html?s=01&t=0,,500-1000人,27/12/2017,10000-20000,1,[计算机软件]
21,工作职责：1.负责海量数据分析和挖掘工作；2.跟进业务各数据指标的计算和分析；3.参与海量数据的存储、查询和运营数据分析体系搭建。工作要求：1.计算机相关专业，两年及以上工作经验；2.熟练掌握SQL、python/R；熟悉JAVA，C/C++等语言；3.熟练使用Hive、HDFS、HBase、Kafka等；4.深入理解MapReduce，要求具有Spark/Hadoop/Storm等大规模分布式计算平台的使用经验；5.有一定的业务数据敏感度，较强的数据分析能力，逻辑思考，问题定位解决能力。6..熟练使用ssm框架，有制造行业经验优先深圳市极维度技术有限公司联系方式：张小姐0755-86703070工作地址：深圳市南山区粤海街道软件产业基地4栋D座1104A,前程无忧,本科,,,深圳市极维度技术有限公司,民营公司,,"五险一金,专业培训,通讯补贴,年终奖金,绩效奖金,下午茶",2年经验,招2人,,,Java开发工程师,http://jobs.51job.com/shenzhen-nsq/85248465.html?s=01&t=0,,50-150人,27/12/2017,8000-15000,2,"[计算机软件,计算机服务(系统、数据服务、维修)]"
22,,前程无忧,本科,,,广州哥拉泰电子商务有限公司,民营公司,,"包吃,其他面议",3-4年经验,招1人,,,PHP开发工程师,http://jobs.51job.com/guangzhou-byq/95580161.html?s=01&t=0,,50-150人,27/12/2017,10000-15000,1,"[互联网, 电子商务,电子技术, 半导体, 集成电路]"
23,1、根据业务及产品的需求，规划和设计数据指标体系，对运营数据跟踪分析，发现潜在的商业机会、风险或缺陷，对公司战略及产品决策提供数据支持；2、日常运营数据的接入、清洗和处理、中间表/宽表的建设和管理，统计报表的开发和维护；3、对运营数据进行建模和挖掘，应用于日常数据分析以及数据应用研发过程。【岗位要求】：1、全日制本科及以上学历，统计学、应用数学、计算机等相关专业；2、从事数据分析领域工作至少2年以上，具备较强的逻辑分析能力、学习能力及理解能力，掌握数据分析体系方法，熟悉数据建模知识、数据挖掘理论；3、掌握Python、R、SAS、SPSS等任意数据分析工具，熟悉SQL脚本编写；4、有海量数据分析处理经验及大数据分析计算平台的开发经验，熟悉Spark/Hive/Hadoop/MapReduce者优先；5、有金融学习或工作背景，了解金融业务相关知识者优先；6、具有良好的沟通协调能力和团队意识、责任心强。,前程无忧,,,,星河控股集团有限公司,民营公司,,,无工作经验,招1人,,,数据分析工程师（星河金融）,http://jobs.51job.com/shenzhen/97313485.html?s=01&t=0,,1000-5000人,27/12/2017,10000-15000,1,"[房地产,金融, 投资, 证券]"
24,数据分析师工作内容：1.深入了解产品和业务，对产品和业务问题进行深入分析，为公司运营决策、产品和业务方向、销售策略提供数据支持；2.能独立完成数据分析整个流程，准确理解业务需求，对数据进行提取、清洗、转换和建模的开发工作，基于日常数据进行数据监控并撰写数据报告；3.负责与各个相关部门对接合作，提炼数据产品需求，进行数据建模工作，推动业务部门的数据化运营；任职要求：1.统计、数学、计算机等相关专业本科及硕士以上学历；2.三年及以上数据分析工作经验，有互联网公司商业分析、数据分析挖掘工作经验者优先考虑；3.有较强的逻辑分析能力和系统性思维能力，有较强的分析总结能力和表达能力，数据敏感度高；4.掌握一种或多种统计分析软件，如SPSS/R/Amos/SAS等，熟悉MySQL/SQL/Hive等数据库软件，有阿里云服务maxcomputer，quickBi使用经验者优先；5.熟悉统计建模理论，有回归、分类、聚类、决策树等建模经验；6.有良好的沟通能力和学习能力，能与不同部门高效沟通和协作，善于主动思考和行动，乐于解决具有挑战性的问题。,前程无忧,本科,,,常州数赢云网络科技有限公司,民营公司,,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,股票期权",3-4年经验,招若干人,,,数据分析师,http://jobs.51job.com/changzhou/97290895.html?s=01&t=0,,150-500人,27/12/2017,8000-12000,0,"[互联网, 电子商务]"
